,donor,lineage,norm.total,total,name,cdf.norm,cdf,index
1,0,0,0.250359216468242,394,0_0,0.125179608234121,394,1
2,0,1,0.188799777139171,331,0_1,0.219579496803707,725,2
3,0,3,0.145668875725764,249,0_3,0.292413934666588,974,3
4,0,2,0.12831652102516,257,0_2,0.356572195179168,1231,4
5,0,4,0.0925121693742303,185,0_4,0.402828279866284,1416,5
6,0,103,0.0803457275233124,124,0_103,0.44300114362794,1540,6
7,0,5,0.0728622954665415,148,0_5,0.479432291361211,1688,7
8,1,1,0.213522968224929,312,1_1,0.106761484112464,312,1
9,1,0,0.180406265708286,298,1_0,0.196964616966607,610,2
10,1,3,0.151725264154362,228,1_3,0.272827249043788,838,3
11,1,6,0.135228661609396,188,1_6,0.340441579848486,1026,4
12,1,2,0.135157216817083,214,1_2,0.408020188257028,1240,5
13,1,4,0.127648369145035,146,1_4,0.471844372829545,1386,6
14,2,0,0.474790899966544,585,2_0,0.237395449983272,585,1
15,2,2,0.226940448310472,240,2_2,0.350865674138508,825,2
16,2,1,0.198380171740827,221,2_1,0.450055760008922,1046,3
17,3,0,0.297897145006111,404,3_0,0.148948572503056,404,1
18,3,1,0.238512930236268,355,3_1,0.26820503762119,759,2
19,3,2,0.151119518859028,196,3_2,0.343764797050704,955,3
20,3,3,0.113217416573836,144,3_3,0.400373505337622,1099,4
21,3,6,0.0763409582363483,104,3_6,0.438543984455796,1203,5
22,3,4,0.0629261052025789,103,3_4,0.470007037057086,1306,6
