,donor,lineage,norm.total,total,name,cdf.norm,cdf,index
1,0,43,0.517122162922996,859,0_43,0.258561081461498,859,1
2,0,0,0.343259926104041,582,0_0,0.430191044513518,1441,2
3,0,2,0.1371063280746,234,0_2,0.498744208550818,1675,3
4,1,2,0.196082784101492,289,1_2,0.0980413920507462,289,1
5,1,1,0.19102806504538,286,1_1,0.193555424573436,575,2
6,1,0,0.183113513016986,313,1_0,0.285112181081929,888,3
7,1,4,0.178000617487134,268,1_4,0.374112489825496,1156,4
8,1,6,0.137212785555904,224,1_6,0.442718882603448,1380,5
9,2,0,0.332126129140181,393,2_0,0.16606306457009,393,1
10,2,2,0.154747964759674,172,2_2,0.243437046949928,565,2
11,2,1,0.129686628749861,173,2_1,0.308280361324858,738,3
12,2,5,0.121216683394669,112,2_5,0.368888703022193,850,4
13,2,3,0.120667447306792,135,2_3,0.429222426675588,985,5
14,2,7,0.11100981376157,104,2_7,0.484727333556373,1089,6
15,3,37,0.54423972717871,680,3_37,0.272119863589355,680,1
16,3,0,0.324042518639654,443,3_0,0.434141122909182,1123,2
